Market A,Market B,Market C,P1,P2,P3,Profit in %
BTC,ETH,YFI,0.07331,5.95,0.436,-0.44590200013994163
BTC,ETH,AAVE,0.07331,0.0555,0.004071,0.5640615380078096
BTC,ETH,UNI,0.07331,0.004107,0.0003009,-0.6116894156210639
BTC,ETH,CRV,0.07331,0.000706,5.19e-05,2.765623726014299
BTC,ETH,ATOM,0.07331,0.007508,0.0005512,1.4326009333960332
BTC,ETH,NEO,0.07331,0.00618,0.000453,-0.12316363679709674
BTC,ETH,FIL,0.07331,0.004,0.000287,-21.279498022098053
BTC,ETH,ZEC,0.07331,0.0417,0.003058,0.3182830900740896
BTC,ETH,OKB,0.07331,0.010849,0.0007953,-0.050531835943057324
BTC,ETH,OKT,0.07331,0.011,0.000807,0.7316377525081741
BTC,ETH,IOST,0.07331,8.82e-06,6.46e-07,-0.9189689607483897
BTC,ETH,XRP,0.07331,0.000228,1.673e-05,0.9165595751758904
BTC,ETH,GAS,0.07331,0.00167,0.0001217,-5.9439162869187046
BTC,ETH,ADA,0.07331,0.000303,2.218e-05,-1.482469894786509
BTC,ETH,SWFTC,0.07331,1.083e-06,7.97e-08,3.8449655285683892
BTC,ETH,DOGE,0.07331,4.3e-05,3.16e-06,2.433120897875396
BTC,ETH,MANA,0.07331,0.0005245,3.852e-05,1.7920165862634896
BTC,ETH,NULS,0.07331,0.000139,1.023e-05,3.9165502954343623
BTC,ETH,TRX,0.07331,4.254e-05,3.118e-06,-0.19476642042215442
BTC,ETH,QTUM,0.07331,0.00209,0.0001535,1.8411686885149159
BTC,ETH,KSM,0.07331,0.0307,0.00226,4.169078968122797
BTC,ETH,SOL,0.07331,0.02134,0.0015646,0.10521367644833468
BTC,ETH,LTC,0.07331,0.0357,0.002615,-0.8279945452468462
